company_name,company_financing_status,employees,hq_city,verticals,success_probability,total_raised,last_financing_date,last_financing_size
Flow Life,Venture Capital-Backed,164,Bay Harbor Islands,Real Estate Technology,98%,450.0,24-Apr-2025,100.0
Inco (Business/Productivity Software),Venture Capital-Backed,8,Miami,"Cryptocurrency/Blockchain, FinTech",75%,10.25,24-Apr-2025,5.0
MagicBlock Labs,Venture Capital-Backed,10,Singapore,"Cryptocurrency/Blockchain, Esports, Gaming",74%,11.0,24-Apr-2025,7.5
Unusual Circumstances,Venture Capital-Backed,3,Los Angeles,"Artificial Intelligence & Machine Learning, Mobile",36%,3.0,23-Apr-2025,2.0
Exowatt,Venture Capital-Backed,44,Miami,"Artificial Intelligence & Machine Learning, CleanTech, Manufacturing",78%,90.0,22-Apr-2025,70.0
Northwood,Venture Capital-Backed,48,El Segundo,Space Technology,67%,36.3,22-Apr-2025,30.0
LayerZero,Venture Capital-Backed,128,Vancouver,"Cryptocurrency/Blockchain, FinTech, SaaS",93%,302.03,17-Apr-2025,38.73
"Crux ( Accounting, Audit and Tax Services)",Venture Capital-Backed,49,New York,,83%,77.02,16-Apr-2025,50.0
Safe Superintelligence,Venture Capital-Backed,20,Palo Alto,Artificial Intelligence & Machine Learning,98%,3000.0,13-Apr-2025,2000.0
Base Power,Venture Capital-Backed,111,Austin,"Climate Tech, Infrastructure",89%,275.8,09-Apr-2025,200.0
Blackbird Labs,Venture Capital-Backed,45,New York,"Cryptocurrency/Blockchain, Restaurant Technology",95%,85.0,08-Apr-2025,50.0
Moov (Financial Software),Venture Capital-Backed,151,Cedar Falls,"FinTech, SaaS",92%,104.63,08-Apr-2025,27.13
Krea (Multimedia and Design Software),Venture Capital-Backed,9,San Francisco,Artificial Intelligence & Machine Learning,87%,82.73,07-Apr-2025,47.0
Rescale,Venture Capital-Backed,218,San Francisco,"Artificial Intelligence & Machine Learning, Big Data, SaaS",86%,272.4,07-Apr-2025,115.0
Plaid,Venture Capital-Backed,1200,San Francisco,"FinTech, SaaS, TMT",98%,1309.3,03-Apr-2025,350.0
Ambient.ai,Venture Capital-Backed,127,Redwood City,"Artificial Intelligence & Machine Learning, Cybersecurity",79%,165.12,01-Apr-2025,74.0
Command Zero,Venture Capital-Backed,27,Austin,"Cybersecurity, SaaS, TMT",75%,41.82,01-Apr-2025,5.25
OpenAI,Venture Capital-Backed,4500,San Francisco,"Artificial Intelligence & Machine Learning, Big Data, CloudTech & DevOps, SaaS",98%,63916.5,31-Mar-2025,40000.0
Here Not There Labs,Venture Capital-Backed,10,New York,"Cryptocurrency/Blockchain, Mobile",92%,43.5,27-Mar-2025,10.0
Firenze,Venture Capital-Backed,8,Manchester,FinTech,54%,4.24,26-Mar-2025,3.29
Mercury,Venture Capital-Backed,800,San Francisco,"FinTech, SaaS",98%,466.69,26-Mar-2025,300.0
Thatch,Venture Capital-Backed,78,San Francisco,"FinTech, HealthTech",98%,84.0,21-Mar-2025,40.0
Cape,Venture Capital-Backed,95,Washington,"Cybersecurity, Mobile",95%,76.38,19-Mar-2025,55.0
Provable,Venture Capital-Backed,30,Reno,Cryptocurrency/Blockchain,92%,228.48,19-Mar-2025,0.48
Wiz (Network Management Software),Venture Capital-Backed,900,New York,"Cybersecurity, SaaS",98%,1801.0,18-Mar-2025,32000.0
ADDI,Venture Capital-Backed,486,Bogota,"Artificial Intelligence & Machine Learning, Big Data, FinTech, SaaS",87%,527.5,16-Mar-2025,70.0
Flock (Real Estate Services (B2C)),Venture Capital-Backed,41,Denver,"Mobile, Real Estate Technology, TMT",94%,55.34,14-Mar-2025,21.7
TruckSmarter,Venture Capital-Backed,61,San Francisco,SaaS,89%,50.37,14-Mar-2025,6.37
Flock Safety,Venture Capital-Backed,1300,Atlanta,"SaaS, TMT",96%,957.58,13-Mar-2025,275.0
nunu.ai,Venture Capital-Backed,7,San Francisco,"Artificial Intelligence & Machine Learning, Gaming",40%,8.53,12-Mar-2025,6.0
TaleMonster Games,Venture Capital-Backed,7,Istanbul,Gaming,59%,3.53,11-Mar-2025,3.53
AvatarOS,Venture Capital-Backed,5,Los Angeles,Artificial Intelligence & Machine Learning,77%,7.9,10-Mar-2025,7.0
Uthana,Venture Capital-Backed,10,Los Angeles,"Artificial Intelligence & Machine Learning, Big Data, Gaming",62%,4.9,10-Mar-2025,4.3
Intangible,Venture Capital-Backed,10,San Francisco,"Artificial Intelligence & Machine Learning, SaaS",62%,7.77,06-Mar-2025,4.0
Shield AI,Venture Capital-Backed,1000,San Diego,"Advanced Manufacturing, Artificial Intelligence & Machine Learning, Big Data, Robotics and Drones",98%,1310.35,06-Mar-2025,240.0
TrueMed,Venture Capital-Backed,47,Austin,"Artificial Intelligence & Machine Learning, SaaS",90%,42.7,04-Mar-2025,32.65
Camber (Healthcare Technology Systems),Venture Capital-Backed,57,New York,"Big Data, HealthTech",81%,48.62,26-Feb-2025,30.0
Metronome,Venture Capital-Backed,133,San Francisco,,95%,130.23,25-Feb-2025,50.0
Function Health,Venture Capital-Backed,32,Austin,"Digital Health, HealthTech",65%,357.6,20-Feb-2025,300.0
Orderful,Venture Capital-Backed,87,San Francisco,"Mobile, SaaS, Supply Chain Tech",87%,49.87,19-Feb-2025,18.87
Saronic Technologies,Venture Capital-Backed,286,Austin,"Advanced Manufacturing, Artificial Intelligence & Machine Learning, Manufacturing",97%,845.0,18-Feb-2025,600.0
fal,Venture Capital-Backed,22,Oakland,"Artificial Intelligence & Machine Learning, Big Data, SaaS",97%,72.0,12-Feb-2025,49.0
dYdX (Financial Software),Venture Capital-Backed,75,San Francisco,"Cryptocurrency/Blockchain, FinTech",86%,91.96,08-Feb-2025,5.0
Graphite (Software Development Applications),Venture Capital-Backed,48,New York,"Artificial Intelligence & Machine Learning, SaaS",77%,74.25,07-Feb-2025,52.0
ElevenLabs,Venture Capital-Backed,150,New York,"Artificial Intelligence & Machine Learning, AudioTech, SaaS",64%,353.04,06-Feb-2025,250.0
TRIVER,Venture Capital-Backed,27,London,FinTech,82%,46.79,05-Feb-2025,10.36
Deel,Venture Capital-Backed,5000,San Francisco,"HR Tech, SaaS",98%,684.72,04-Feb-2025,300.0
SuperGaming,Venture Capital-Backed,100,Singapore,"Esports, Gaming",90%,19.93,04-Feb-2025,3.0
Castelion,Venture Capital-Backed,50,El Segundo,Manufacturing,81%,114.14,29-Jan-2025,100.0
SkySafe,Venture Capital-Backed,41,San Diego,"Robotics and Drones, Supply Chain Tech",88%,58.97,29-Jan-2025,4.03
Eclypsium,Venture Capital-Backed,111,Portland,"Artificial Intelligence & Machine Learning, Cybersecurity, SaaS",93%,94.24,28-Jan-2025,45.0
Method Financial,Venture Capital-Backed,49,Austin,"FinTech, SaaS",89%,60.1,23-Jan-2025,41.5
Spaceium,Venture Capital-Backed,2,Long Beach,"Manufacturing, Space Technology",62%,5.5,23-Jan-2025,5.0
WithClutch,Venture Capital-Backed,184,Half Moon Bay,"Artificial Intelligence & Machine Learning, FinTech, SaaS",92%,101.0,23-Jan-2025,65.0
MoonPay,Venture Capital-Backed,20,Santa Monica,,63%,2.05,22-Jan-2025,1.3
Altera,Venture Capital-Backed,300,Dover,"Cryptocurrency/Blockchain, FinTech, SaaS",96%,757.28,22-Jan-2025,202.28
Sandbox VR,Venture Capital-Backed,9,Menlo Park,Artificial Intelligence & Machine Learning,83%,42.14,21-Jan-2025,31.0
Craftwork,Venture Capital-Backed,800,Pleasanton,"Gaming, Virtual Reality",88%,126.8,21-Jan-2025,6.8
Instabase,Venture Capital-Backed,27,Charlotte,,76%,16.74,19-Jan-2025,7.0
Halliday,Venture Capital-Backed,300,San Francisco,"Artificial Intelligence & Machine Learning, SaaS",96%,291.92,17-Jan-2025,100.0
Phantom,Venture Capital-Backed,17,San Francisco,"Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech, SaaS",91%,26.0,16-Jan-2025,20.0
Quantifind,Venture Capital-Backed,179,San Francisco,"Cryptocurrency/Blockchain, FinTech",97%,268.0,16-Jan-2025,150.0
